1.989999999999999858e+01,2.100000000000000000e+01,3.220000000000000000e+02,2.400000000000000000e+01,5.121100000000000000e+04
2.019999999999999929e+01,2.169999999999999929e+01,2.710000000000000000e+02,1.200000000000000000e+01,4.598200000000000000e+04
1.950000000000000000e+01,2.280000000000000071e+01,2.770000000000000000e+02,1.000000000000000000e+01,3.722800000000000000e+04
2.189999999999999858e+01,2.230000000000000071e+01,2.520000000000000000e+02,4.700000000000000000e+01,3.722800000000000000e+04
2.080000000000000071e+01,2.200000000000000000e+01,2.870000000000000000e+02,1.000000000000000000e+00,3.393800000000000000e+04
2.060000000000000142e+01,2.280000000000000071e+01,2.470000000000000000e+02,2.200000000000000000e+01,3.358600000000000000e+04
2.110000000000000142e+01,2.410000000000000142e+01,2.170000000000000000e+02,3.200000000000000000e+01,3.191600000000000000e+04
1.930000000000000071e+01,2.200000000000000000e+01,3.190000000000000000e+02,1.700000000000000000e+01,2.429000000000000000e+04
1.960000000000000142e+01,2.169999999999999929e+01,2.940000000000000000e+02,2.200000000000000000e+01,2.047600000000000000e+04
1.900000000000000000e+01,2.160000000000000142e+01,2.780000000000000000e+02,6.500000000000000000e+01,1.942600000000000000e+04
2.150000000000000000e+01,2.280000000000000071e+01,2.320000000000000000e+02,2.500000000000000000e+01,1.931600000000000000e+04
2.100000000000000000e+01,2.260000000000000142e+01,2.400000000000000000e+02,4.000000000000000000e+00,1.862400000000000000e+04
